Date,Price,Open,High,Low,Vol.,Change %
18-Jan-19,3605.60 ,3626.30 ,3627.90 ,3575.70 ,488.16K,-0.57%
17-Jan-19,3626.40 ,3588.10 ,3636.70 ,3554.80 ,525.10K,1.07%
16-Jan-19,3588.00 ,3570.60 ,3644.10 ,3561.40 ,487.34K,0.47%
15-Jan-19,3571.30 ,3637.50 ,3660.80 ,3545.70 ,544.85K,-1.84%
14-Jan-19,3638.10 ,3490.40 ,3672.00 ,3490.40 ,539.93K,4.24%
13-Jan-19,3490.20 ,3597.30 ,3617.60 ,3473.20 ,452.79K,-2.98%
12-Jan-19,3597.20 ,3616.60 ,3633.90 ,3561.30 ,435.06K,-0.53%
11-Jan-19,3616.50 ,3603.30 ,3655.70 ,3563.10 ,551.64K,0.35%
10-Jan-19,3603.70 ,3978.90 ,4007.70 ,3562.10 ,697.31K,-9.41%
9-Jan-19,3978.00 ,3971.00 ,4014.20 ,3957.50 ,473.42K,0.17%
8-Jan-19,3971.00 ,3985.80 ,4070.50 ,3943.10 ,514.08K,-0.37%
7-Jan-19,3985.90 ,4004.30 ,4028.00 ,3945.50 ,500.88K,-0.45%
6-Jan-19,4004.10 ,3785.70 ,4034.10 ,3758.50 ,529.89K,5.78%
5-Jan-19,3785.40 ,3802.80 ,3846.70 ,3769.00 ,468.45K,-0.46%
4-Jan-19,3802.70 ,3780.50 ,3823.90 ,3720.00 ,488.70K,0.60%
3-Jan-19,3780.10 ,3874.10 ,3875.80 ,3753.00 ,450.32K,-2.42%
2-Jan-19,3873.80 ,3809.70 ,3894.80 ,3768.10 ,554.47K,1.69%
1-Jan-19,3809.40 ,3709.50 ,3814.30 ,3664.40 ,469.11K,2.69%
31-Dec-18,3709.40 ,3815.10 ,3819.60 ,3658.80 ,545.83K,-2.77%
30-Dec-18,3815.00 ,3708.20 ,3837.70 ,3682.50 ,519.17K,2.92%
29-Dec-18,3706.80 ,3861.60 ,3899.60 ,3696.00 ,505.41K,-4.01%
28-Dec-18,3861.60 ,3587.10 ,3900.30 ,3565.50 ,565.24K,7.66%
27-Dec-18,3586.90 ,3793.40 ,3822.60 ,3560.80 ,543.44K,-5.45%
26-Dec-18,3793.70 ,3762.80 ,3841.90 ,3680.30 ,567.11K,0.83%
25-Dec-18,3762.50 ,4025.60 ,4030.70 ,3676.50 ,670.94K,-6.55%
24-Dec-18,4026.10 ,3944.50 ,4208.20 ,3941.90 ,716.29K,2.07%
23-Dec-18,3944.40 ,3964.30 ,4037.10 ,3904.60 ,572.21K,-0.50%
22-Dec-18,3964.40 ,3850.90 ,3977.20 ,3803.70 ,554.59K,2.95%
21-Dec-18,3850.90 ,4075.20 ,4153.10 ,3786.90 ,748.76K,-5.52%
20-Dec-18,4076.00 ,3687.20 ,4140.30 ,3665.80 ,958.58K,10.55%
19-Dec-18,3687.10 ,3668.10 ,3924.70 ,3647.50 ,792.40K,0.52%
18-Dec-18,3668.00 ,3526.00 ,3683.10 ,3456.90 ,698.53K,4.02%
17-Dec-18,3526.10 ,3248.30 ,3597.40 ,3243.10 ,534.78K,8.57%
16-Dec-18,3247.90 ,3228.60 ,3305.00 ,3225.90 ,335.69K,0.60%
15-Dec-18,3228.70 ,3247.80 ,3282.30 ,3177.00 ,332.95K,-0.59%
14-Dec-18,3247.80 ,3315.40 ,3336.60 ,3199.10 ,445.56K,-2.04%
13-Dec-18,3315.30 ,3466.20 ,3474.40 ,3284.80 ,435.89K,-4.35%
12-Dec-18,3466.10 ,3390.20 ,3510.20 ,3379.40 ,391.17K,1.72%
11-Dec-18,3407.70 ,3460.40 ,3485.90 ,3349.90 ,418.53K,-1.53%
10-Dec-18,3460.50 ,3566.90 ,3622.40 ,3412.70 ,394.49K,-3.00%
9-Dec-18,3567.50 ,3430.30 ,3677.60 ,3424.20 ,327.93K,4.00%
8-Dec-18,3430.40 ,3422.30 ,3507.70 ,3302.90 ,424.40K,0.24%
7-Dec-18,3422.20 ,3508.90 ,3626.60 ,3251.80 ,639.33K,-2.46%
6-Dec-18,3508.60 ,3771.40 ,3887.20 ,3505.70 ,467.54K,-6.97%
5-Dec-18,3771.60 ,3958.10 ,3974.10 ,3765.20 ,341.60K,-4.72%
4-Dec-18,3958.50 ,3899.90 ,4082.90 ,3809.30 ,326.71K,1.56%
3-Dec-18,3897.80 ,4160.30 ,4177.00 ,3839.90 ,355.10K,-6.31%
2-Dec-18,4160.40 ,4196.20 ,4316.10 ,4105.30 ,298.63K,-0.85%
1-Dec-18,4196.20 ,4038.70 ,4299.10 ,3967.10 ,316.30K,3.87%
30-Nov-18,4039.70 ,4296.80 ,4340.60 ,3954.50 ,444.52K,-5.98%
29-Nov-18,4296.50 ,4265.50 ,4440.10 ,4140.60 ,414.46K,0.73%
28-Nov-18,4265.40 ,3866.40 ,4391.80 ,3866.40 ,533.04K,10.32%
27-Nov-18,3866.50 ,3840.30 ,3920.60 ,3687.80 ,457.27K,0.77%
26-Nov-18,3837.00 ,4061.00 ,4179.00 ,3679.80 ,571.04K,-5.54%
25-Nov-18,4062.20 ,3920.30 ,4198.40 ,3634.20 ,619.95K,3.62%
24-Nov-18,3920.40 ,4397.30 ,4494.60 ,3821.50 ,382.72K,-10.86%
23-Nov-18,4398.00 ,4360.90 ,4455.60 ,4223.70 ,348.99K,0.96%
22-Nov-18,4356.00 ,4646.40 ,4695.70 ,4346.70 ,261.85K,-6.09%
21-Nov-18,4638.70 ,4523.00 ,4743.70 ,4393.00 ,412.74K,2.52%
20-Nov-18,4524.60 ,4883.60 ,5013.40 ,4272.30 ,714.08K,-7.36%
19-Nov-18,4883.80 ,5660.40 ,5662.50 ,4831.10 ,478.26K,-13.69%
18-Nov-18,5658.30 ,5621.00 ,5727.90 ,5615.50 ,158.68K,0.65%
17-Nov-18,5621.80 ,5636.20 ,5645.50 ,5561.40 ,156.51K,-0.26%
16-Nov-18,5636.20 ,5723.50 ,5747.70 ,5539.70 ,224.12K,-1.45%
15-Nov-18,5718.90 ,5854.00 ,5878.50 ,5384.10 ,375.86K,-2.11%
14-Nov-18,5842.40 ,6428.90 ,6453.30 ,5619.20 ,438.21K,-9.13%
13-Nov-18,6429.20 ,6435.00 ,6466.80 ,6386.70 ,137.60K,-0.09%
12-Nov-18,6435.00 ,6445.00 ,6475.90 ,6409.40 ,130.16K,-0.17%
11-Nov-18,6446.10 ,6427.10 ,6451.70 ,6359.00 ,127.40K,0.30%
10-Nov-18,6427.10 ,6411.90 ,6461.70 ,6411.70 ,115.87K,0.24%
9-Nov-18,6412.00 ,6473.80 ,6496.10 ,6390.00 ,151.60K,-0.96%
8-Nov-18,6474.00 ,6565.30 ,6577.30 ,6466.30 ,159.30K,-1.39%
