Date,Price,Open,High,Low,Vol.,Change %
9-Apr-20,0.0361 ,0.0364 ,0.0366 ,0.0353,306.33M,-0.92%
8-Apr-20,0.0364 ,0.0353 ,0.0368 ,0.0353,436.34M,3.30%
7-Apr-20,0.0353 ,0.0360 ,0.0369 ,0.0346,603.01M,-2.05%
6-Apr-20,0.0360 ,0.0319 ,0.0360 ,0.0319,557.45M,12.87%
5-Apr-20,0.0319 ,0.0325 ,0.0325 ,0.0316,209.56M,-1.77%
4-Apr-20,0.0325 ,0.0323 ,0.0326 ,0.0318,320.80M,0.60%
3-Apr-20,0.0323 ,0.0319 ,0.0327 ,0.0316,371.03M,1.16%
2-Apr-20,0.0319 ,0.0309 ,0.0335 ,0.0308,534.58M,3.13%
1-Apr-20,0.0309 ,0.0305 ,0.0309 ,0.0294,409.24M,1.57%
31-Mar-20,0.0305 ,0.0297 ,0.0306 ,0.0295,307.35M,2.67%
30-Mar-20,0.0297 ,0.0281 ,0.0303 ,0.028,397.03M,5.69%
29-Mar-20,0.0281 ,0.0297 ,0.0300 ,0.0281,357.14M,-5.66%
28-Mar-20,0.0297 ,0.0288 ,0.0300 ,0.0278,511.50M,3.24%
27-Mar-20,0.0288 ,0.0308 ,0.0314 ,0.0285,465.02M,-6.58%
26-Mar-20,0.0308 ,0.0295 ,0.0309 ,0.0292,394.15M,4.71%
25-Mar-20,0.0295 ,0.0302 ,0.0304 ,0.0288,450.64M,-2.56%
24-Mar-20,0.0302 ,0.0293 ,0.0304 ,0.0288,495.08M,3.34%
23-Mar-20,0.0293 ,0.0270 ,0.0298 ,0.0266,606.34M,8.18%
22-Mar-20,0.0270 ,0.0294 ,0.0304 ,0.0269,571.39M,-8.17%
21-Mar-20,0.0294 ,0.0295 ,0.0306 ,0.028,651.88M,0.00%
20-Mar-20,0.0295 ,0.0303 ,0.0338 ,0.0268,1.13B,-2.74%
19-Mar-20,0.0303 ,0.0261 ,0.0319 ,0.0258,852.99M,16.22%
18-Mar-20,0.0261 ,0.0258 ,0.0265 ,0.0244,531.44M,0.99%
17-Mar-20,0.0258 ,0.0242 ,0.0265 ,0.0239,686.53M,6.67%
16-Mar-20,0.0242 ,0.0270 ,0.0270 ,0.0217,1.16B,-10.25%
15-Mar-20,0.0270 ,0.0258 ,0.0289 ,0.0255,620.44M,4.65%
14-Mar-20,0.0258 ,0.0284 ,0.0289 ,0.0254,707.87M,-9.24%
